,Unnamed: 0,time,median_100_200Hz,avg_100_200Hz,median_400_600Hz,avg_400_600Hz,median_800_1000Hz,avg_800_1000Hz,median_1000_1200Hz,avg_1000_1200Hz,median_1600_1800Hz,avg_1600_1800Hz,median_2000_2600Hz,avg_2000_2600Hz,median_3000_4000Hz,avg_3000_4000Hz
10,10,2023-06-03 05:15:00,-10.242710928124954,-10.028817045803486,-9.463688601360309,-9.1662471497295,-8.510951265737058,-8.348946834125016,-8.827264249885259,-8.644519841669597,-10.032547045968126,-9.84461287010182,-10.8521668483458,-10.60849417447717,-11.446678814868598,-11.238100162027216
11,11,2023-06-03 05:45:00,-10.242710928124954,-10.028817045803486,-9.460214643885005,-9.1662471497295,-8.520813597274163,-8.348946834125016,-8.842550988736166,-8.646796871820307,-10.116110090923817,-9.927195267860952,-10.854038525210802,-10.61031240244325,-11.446779014517158,-11.238200618550048
12,12,2023-06-03 06:15:00,-10.242710928124954,-10.028817045803486,-9.476338432842786,-9.195274854709751,-8.520813597274163,-8.348946834125016,-8.851351842096845,-8.660364864348118,-10.15449598591151,-9.97090033188239,-10.86620089157086,-10.63396370462562,-11.468605219083049,-11.261424660606124
13,13,2023-06-03 06:45:00,-10.242710928124954,-10.028817045803486,-9.482285607255085,-9.20806562743807,-8.520813597274163,-8.348222805986369,-8.874250162490966,-8.67313786823224,-10.165816446226176,-9.990295037400063,-10.86620089157086,-10.63652181117506,-11.468605219083049,-11.261424660606124
14,14,2023-06-03 07:15:00,-10.213508934320878,-10.017409189624386,-9.47833740485152,-9.20806562743807,-8.520813597274163,-8.326883448589218,-8.877373764805583,-8.681615535338409,-10.218997452855938,-10.050350455423098,-10.873905685994742,-10.639940375483915,-11.471299161582031,-11.261424660606124
15,15,2023-06-03 07:45:00,-10.213508934320878,-10.017409189624386,-9.476338432842786,-9.196441316572733,-8.492200961391637,-8.321644210775093,-8.88745321107756,-8.690142216911962,-10.221398010889,-10.054620546862049,-10.86620089157086,-10.641177792427412,-11.471299161582031,-11.261424660606124
16,16,2023-06-03 08:15:00,-10.213508934320878,-10.017409189624386,-9.476338432842786,-9.196441316572733,-8.520813597274163,-8.326883448589218,-8.926821698261339,-8.715753022656344,-10.340581695575676,-10.17842046509033,-10.867913620496864,-10.648619237823809,-11.472600868118612,-11.262585485016666
17,17,2023-06-03 08:45:00,-10.213508934320878,-10.017409189624386,-9.458672559130513,-9.196441316572733,-8.521584265665169,-8.348222805986369,-8.926821698261339,-8.715753022656344,-10.340622585739006,-10.17909926466954,-10.873905685994742,-10.653872069512072,-11.487064203765351,-11.274236719429814
18,18,2023-06-03 09:15:00,-10.213508934320878,-10.017409189624386,-9.470286747678186,-9.196441316572733,-8.527917772237233,-8.352572397962968,-8.926821698261339,-8.715753022656344,-10.353459803335332,-10.189950135368075,-10.873905685994742,-10.661935479867056,-11.496220969237996,-11.285178403142869
19,19,2023-06-03 09:45:00,-10.23919367697188,-10.04826636373911,-9.46048154292378,-9.18977563891591,-8.527917772237233,-8.352572397962968,-8.926821698261339,-8.715753022656344,-10.355095461639644,-10.194497304825404,-10.874195578283766,-10.663746102332505,-11.514245075052749,-11.299088956435346
20,20,2023-06-03 10:15:00,-10.273314921132863,-10.0771061930202,-9.45954025525488,-9.18758833633058,-8.530603023192551,-8.360189851420515,-8.93078424305368,-8.717718356107591,-10.355095461639644,-10.194497304825404,-10.878066467540217,-10.671215439454802,-11.516991197949553,-11.308296401825096
